Num;Subj;sexe;age;category;tps;WB_score_mean
217;s104;m;10;3;t1;4.566666667
218;s105;m;10;3;t1;4.466666667
219;s106;m;11;3;t1;4.9
220;s107;f;11;3;t1;5.3
221;s108;m;12;3;t1;4.633333333
222;s109;f;11;3;t1;5.233333333
223;s110;f;11;3;t1;5.2
224;s111;f;11;3;t1;5.466666667
225;s112;f;11;3;t1;5.266666667
226;s113;m;11;3;t1;4.833333333
